Scenario,ClientID,StandardizedID,LocationID,Latitude,Longitude,Demand
100,1,C591,567,12.3111,-71.7011,9.0
100,2,C592,568,12.3122,-71.7022,10.0
100,3,C593,569,12.3133,-71.7033,11.0
100,4,C594,570,12.3144,-71.7044,12.0
100,5,C595,571,12.3155,-71.7055,13.0
100,6,C596,572,12.3166,-71.7066,14.0
100,7,C597,573,12.3177,-71.7077,15.0
100,8,C598,574,12.3188,-71.7088,16.0
100,9,C599,575,12.3199,-71.7099,17.0
100,10,C600,576,12.321,-71.711,18.0
100,11,C601,577,12.3221,-71.7121,19.0
100,12,C602,578,12.3232,-71.7132,20.0
100,13,C603,579,12.3243,-71.7143,21.0
100,14,C604,580,12.3254,-71.7154,22.0
100,15,C605,581,12.3265,-71.7165,23.0
100,16,C606,582,12.3276,-71.7176,24.0
100,17,C607,583,12.3287,-71.7187,25.0
100,18,C608,584,12.3298,-71.7198,26.0
100,19,C609,585,12.3309,-71.7209,27.0
100,20,C610,586,12.332,-71.722,28.0
100,21,C611,587,12.3331,-71.7231,29.0
100,22,C612,588,12.3342,-71.7242,30.0
100,23,C613,589,12.3353,-71.7253,8.0
100,24,C614,590,12.3364,-71.7264,9.0
100,25,C615,591,12.3375,-71.7275,10.0
100,26,C616,592,12.3386,-71.7286,11.0
100,27,C617,593,12.3397,-71.7297,12.0
100,28,C618,594,12.3408,-71.7308,13.0
100,29,C619,595,12.3419,-71.7319,14.0
100,30,C620,596,12.343,-71.733,15.0
100,31,C621,597,12.3441,-71.7341,16.0
100,32,C622,598,12.3452,-71.7352,17.0
100,33,C623,599,12.3463,-71.7363,18.0
100,34,C624,600,12.3474,-71.7374,19.0
100,35,C625,601,12.3485,-71.7385,20.0
100,36,C626,602,12.3496,-71.7396,21.0
100,37,C627,603,12.3507,-71.7407,22.0
100,38,C628,604,12.3518,-71.7418,23.0
100,39,C629,605,12.3529,-71.7429,24.0
100,40,C630,606,12.354,-71.744,25.0
100,41,C631,607,12.3551,-71.7451,26.0
100,42,C632,608,12.3562,-71.7462,27.0
100,43,C633,609,12.3573,-71.7473,28.0
100,44,C634,610,12.3584,-71.7484,29.0
100,45,C635,611,12.3595,-71.7495,30.0
100,46,C636,612,12.3606,-71.7506,8.0
100,47,C637,613,12.3617,-71.7517,9.0
100,48,C638,614,12.3628,-71.7528,10.0
100,49,C639,615,12.3639,-71.7539,11.0
100,50,C640,616,12.365,-71.755,12.0
100,51,C641,617,12.3661,-71.7561,13.0
100,52,C642,618,12.3672,-71.7572,14.0
100,53,C643,619,12.3683,-71.7583,15.0
100,54,C644,620,12.3694,-71.7594,16.0
100,55,C645,621,12.3705,-71.7605,17.0
100,56,C646,622,12.3716,-71.7616,18.0
100,57,C647,623,12.3727,-71.7627,19.0
100,58,C648,624,12.3738,-71.7638,20.0
100,59,C649,625,12.3749,-71.7649,21.0
100,60,C650,626,12.376,-71.766,22.0
100,61,C651,627,12.3771,-71.7671,23.0
100,62,C652,628,12.3782,-71.7682,24.0
100,63,C653,629,12.3793,-71.7693,25.0
100,64,C654,630,12.3804,-71.7704,26.0
100,65,C655,631,12.3815,-71.7715,27.0
100,66,C656,632,12.3826,-71.7726,28.0
100,67,C657,633,12.3837,-71.7737,29.0
100,68,C658,634,12.3848,-71.7748,30.0
100,69,C659,635,12.3859,-71.7759,8.0
100,70,C660,636,12.387,-71.777,9.0
100,71,C661,637,12.3881,-71.7781,10.0
100,72,C662,638,12.3892,-71.7792,11.0
100,73,C663,639,12.3903,-71.7803,12.0
100,74,C664,640,12.3914,-71.7814,13.0
100,75,C665,641,12.3925,-71.7825,14.0
100,76,C666,642,12.3936,-71.7836,15.0
100,77,C667,643,12.3947,-71.7847,16.0
100,78,C668,644,12.3958,-71.7858,17.0
100,79,C669,645,12.3969,-71.7869,18.0
100,80,C670,646,12.398,-71.788,19.0
100,81,C671,647,12.3991,-71.7891,20.0
100,82,C672,648,12.4002,-71.7902,21.0
100,83,C673,649,12.4013,-71.7913,22.0
100,84,C674,650,12.4024,-71.7924,23.0
100,85,C675,651,12.4035,-71.7935,24.0
100,86,C676,652,12.4046,-71.7946,25.0
100,87,C677,653,12.4057,-71.7957,26.0
100,88,C678,654,12.4068,-71.7968,27.0
100,89,C679,655,12.4079,-71.7979,28.0
100,90,C680,656,12.409,-71.799,29.0
100,91,C681,657,12.4101,-71.8001,30.0
100,92,C682,658,12.4112,-71.8012,8.0
100,93,C683,659,12.4123,-71.8023,9.0
100,94,C684,660,12.4134,-71.8034,10.0
100,95,C685,661,12.4145,-71.8045,11.0
100,96,C686,662,12.4156,-71.8056,12.0
100,97,C687,663,12.4167,-71.8067,13.0
100,98,C688,664,12.4178,-71.8078,14.0
100,99,C689,665,12.4189,-71.8089,15.0
100,100,C690,666,12.42,-71.81,16.0
200,1,C691,667,12.3111,-71.7011,9.0
200,2,C692,668,12.3122,-71.7022,10.0
200,3,C693,669,12.3133,-71.7033,11.0
200,4,C694,670,12.3144,-71.7044,12.0
200,5,C695,671,12.3155,-71.7055,13.0
200,6,C696,672,12.3166,-71.7066,14.0
200,7,C697,673,12.3177,-71.7077,15.0
200,8,C698,674,12.3188,-71.7088,16.0
200,9,C699,675,12.3199,-71.7099,17.0
200,10,C700,676,12.321,-71.711,18.0
200,11,C701,677,12.3221,-71.7121,19.0
200,12,C702,678,12.3232,-71.7132,20.0
200,13,C703,679,12.3243,-71.7143,21.0
200,14,C704,680,12.3254,-71.7154,22.0
200,15,C705,681,12.3265,-71.7165,23.0
200,16,C706,682,12.3276,-71.7176,24.0
200,17,C707,683,12.3287,-71.7187,25.0
200,18,C708,684,12.3298,-71.7198,26.0
200,19,C709,685,12.3309,-71.7209,27.0
200,20,C710,686,12.332,-71.722,28.0
200,21,C711,687,12.3331,-71.7231,29.0
200,22,C712,688,12.3342,-71.7242,30.0
200,23,C713,689,12.3353,-71.7253,8.0
200,24,C714,690,12.3364,-71.7264,9.0
200,25,C715,691,12.3375,-71.7275,10.0
200,26,C716,692,12.3386,-71.7286,11.0
200,27,C717,693,12.3397,-71.7297,12.0
200,28,C718,694,12.3408,-71.7308,13.0
200,29,C719,695,12.3419,-71.7319,14.0
200,30,C720,696,12.343,-71.733,15.0
200,31,C721,697,12.3441,-71.7341,16.0
200,32,C722,698,12.3452,-71.7352,17.0
200,33,C723,699,12.3463,-71.7363,18.0
200,34,C724,700,12.3474,-71.7374,19.0
200,35,C725,701,12.3485,-71.7385,20.0
200,36,C726,702,12.3496,-71.7396,21.0
200,37,C727,703,12.3507,-71.7407,22.0
200,38,C728,704,12.3518,-71.7418,23.0
200,39,C729,705,12.3529,-71.7429,24.0
200,40,C730,706,12.354,-71.744,25.0
200,41,C731,707,12.3551,-71.7451,26.0
200,42,C732,708,12.3562,-71.7462,27.0
200,43,C733,709,12.3573,-71.7473,28.0
200,44,C734,710,12.3584,-71.7484,29.0
200,45,C735,711,12.3595,-71.7495,30.0
200,46,C736,712,12.3606,-71.7506,8.0
200,47,C737,713,12.3617,-71.7517,9.0
200,48,C738,714,12.3628,-71.7528,10.0
200,49,C739,715,12.3639,-71.7539,11.0
200,50,C740,716,12.365,-71.755,12.0
200,51,C741,717,12.3661,-71.7561,13.0
200,52,C742,718,12.3672,-71.7572,14.0
200,53,C743,719,12.3683,-71.7583,15.0
200,54,C744,720,12.3694,-71.7594,16.0
200,55,C745,721,12.3705,-71.7605,17.0
200,56,C746,722,12.3716,-71.7616,18.0
200,57,C747,723,12.3727,-71.7627,19.0
200,58,C748,724,12.3738,-71.7638,20.0
200,59,C749,725,12.3749,-71.7649,21.0
200,60,C750,726,12.376,-71.766,22.0
200,61,C751,727,12.3771,-71.7671,23.0
200,62,C752,728,12.3782,-71.7682,24.0
200,63,C753,729,12.3793,-71.7693,25.0
200,64,C754,730,12.3804,-71.7704,26.0
200,65,C755,731,12.3815,-71.7715,27.0
200,66,C756,732,12.3826,-71.7726,28.0
200,67,C757,733,12.3837,-71.7737,29.0
200,68,C758,734,12.3848,-71.7748,30.0
200,69,C759,735,12.3859,-71.7759,8.0
200,70,C760,736,12.387,-71.777,9.0
200,71,C761,737,12.3881,-71.7781,10.0
200,72,C762,738,12.3892,-71.7792,11.0
200,73,C763,739,12.3903,-71.7803,12.0
200,74,C764,740,12.3914,-71.7814,13.0
200,75,C765,741,12.3925,-71.7825,14.0
200,76,C766,742,12.3936,-71.7836,15.0
200,77,C767,743,12.3947,-71.7847,16.0
200,78,C768,744,12.3958,-71.7858,17.0
200,79,C769,745,12.3969,-71.7869,18.0
200,80,C770,746,12.398,-71.788,19.0
200,81,C771,747,12.3991,-71.7891,20.0
200,82,C772,748,12.4002,-71.7902,21.0
200,83,C773,749,12.4013,-71.7913,22.0
200,84,C774,750,12.4024,-71.7924,23.0
200,85,C775,751,12.4035,-71.7935,24.0
200,86,C776,752,12.4046,-71.7946,25.0
200,87,C777,753,12.4057,-71.7957,26.0
200,88,C778,754,12.4068,-71.7968,27.0
200,89,C779,755,12.4079,-71.7979,28.0
200,90,C780,756,12.409,-71.799,29.0
200,91,C781,757,12.4101,-71.8001,30.0
200,92,C782,758,12.4112,-71.8012,8.0
200,93,C783,759,12.4123,-71.8023,9.0
200,94,C784,760,12.4134,-71.8034,10.0
200,95,C785,761,12.4145,-71.8045,11.0
200,96,C786,762,12.4156,-71.8056,12.0
200,97,C787,763,12.4167,-71.8067,13.0
200,98,C788,764,12.4178,-71.8078,14.0
200,99,C789,765,12.4189,-71.8089,15.0
200,100,C790,766,12.42,-71.81,16.0
200,101,C791,767,12.4211,-71.8111,17.0
200,102,C792,768,12.4222,-71.8122,18.0
200,103,C793,769,12.4233,-71.8133,19.0
200,104,C794,770,12.4244,-71.8144,20.0
200,105,C795,771,12.4255,-71.8155,21.0
200,106,C796,772,12.4266,-71.8166,22.0
200,107,C797,773,12.4277,-71.8177,23.0
200,108,C798,774,12.4288,-71.8188,24.0
200,109,C799,775,12.4299,-71.8199,25.0
200,110,C800,776,12.431,-71.821,26.0
200,111,C801,777,12.4321,-71.8221,27.0
200,112,C802,778,12.4332,-71.8232,28.0
200,113,C803,779,12.4343,-71.8243,29.0
200,114,C804,780,12.4354,-71.8254,30.0
