StandardizedID,CD01,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014
CD01,0.0,29733.922280751733,10044.350919403303,59538.60085921908,30473.224324920662,36488.82820684381,32061.082975010922,25690.515786564694,41589.28963260928,24314.52462719248,33904.13912794202,45979.274532220996,14374.393713738336,18111.147416847427,41669.55280003559
C001,29733.922280751733,0.0,37982.914034844034,70251.43989035435,38105.044142485895,19561.597726125427,38919.603479898586,53528.76542792946,55936.64383494573,52176.74393612155,15000.4565648582,64846.65182953825,26929.318549347947,17675.593474167123,31535.24474692867
C002,10044.350919403303,37982.914034844034,0.0,65398.22099558364,38844.579965724406,46468.085268974326,28749.22696621563,15882.971355557478,47151.809116627264,22999.643904408225,39049.31142750247,49360.44981870553,15304.573782772051,28114.354935760424,51620.44599957614
C003,59538.60085921908,70251.43989035435,65398.22099558364,0.0,32499.648471473964,55655.741332206475,91579.73885467731,73165.00997409213,18239.855740983505,48229.98387100507,83549.31062332379,21218.564889205045,73410.03859067259,54368.288267999895,45155.454483444555
C004,30473.224324920662,38105.044142485895,38844.579965724406,32499.648471473964,0.0,26818.38707790647,61235.444816454365,51294.27607288877,18261.113789104893,32213.167102867985,51037.118280874776,28699.04134788121,42862.067624528514,21867.85146546143,21326.610316149145
C005,36488.82820684381,19561.597726125427,46468.085268974326,55655.741332206475,26818.38707790647,0.0,56332.78288072322,62181.80740815449,44778.07259042938,52281.04715177386,34523.18243653969,55526.97272457461,40829.15865411404,18378.382937435323,12407.41440702933
C006,32061.082975010922,38919.603479898586,28749.22696621563,91579.73885467731,61235.444816454365,56332.78288072322,0.0,34262.47893556913,73668.99645397182,51705.298953564394,28826.131766179024,77487.11716087721,18367.19682252299,42173.10249090384,66126.0660767426
C007,25690.515786564694,53528.76542792946,15882.971355557478,73165.00997409213,51294.27607288877,62181.80740815449,34262.47893556913,0.0,55302.56941125953,25291.370510480607,52660.27982965857,54238.171374425045,28347.693255165468,43792.21043065355,66522.95903814696
C008,41589.28963260928,55936.64383494573,47151.809116627264,18239.855740983505,18261.113789104893,44778.07259042938,73668.99645397182,55302.56941125953,0.0,30901.71634772184,68018.25671443691,11633.684977049144,55684.052119586195,38847.515169457576,37153.303080456055
C009,24314.52462719248,52176.74393612155,22999.643904408225,48229.98387100507,32213.167102867985,52281.04715177386,51705.298953564394,25291.370510480607,30901.71634772184,0.0,58191.36137220407,28940.953307691216,37097.35608397346,36164.74873042825,51945.98942476648
C010,33904.13912794202,15000.4565648582,39049.31142750247,83549.31062332379,51037.118280874776,34523.18243653969,28826.131766179024,52660.27982965857,68018.25671443691,58191.36137220407,0.0,75738.5524594893,24344.408441203763,29254.18008384373,46537.44949340507
C011,45979.274532220996,64846.65182953825,49360.44981870553,21218.564889205045,28699.04134788121,55526.97272457461,77487.11716087721,54238.171374425045,11633.684977049144,28940.953307691216,75738.5524594893,0.0,60361.713136593105,47261.009338702934,48615.01352930662
C012,14374.393713738336,26929.318549347947,15304.573782772051,73410.03859067259,42862.067624528514,40829.15865411404,18367.19682252299,28347.693255165468,55684.052119586195,37097.35608397346,24344.408441203763,60361.713136593105,0.0,24648.070550236298,49239.59083056767
C013,18111.147416847427,17675.593474167123,28114.354935760424,54368.288267999895,21867.85146546143,18378.382937435323,42173.10249090384,43792.21043065355,38847.515169457576,36164.74873042825,29254.18008384373,47261.009338702934,24648.070550236298,0.0,24710.53898801691
C014,41669.55280003559,31535.24474692867,51620.44599957614,45155.454483444555,21326.610316149145,12407.41440702933,66126.0660767426,66522.95903814696,37153.303080456055,51945.98942476648,46537.44949340507,48615.01352930662,49239.59083056767,24710.53898801691,0.0
